"","ftTrumpPre","ftTrumpPost","age"
"1",100,100,46
"2",0,15,37
"3",0,0,40
"4",15,60,41
"5",85,90,72
"6",0,0,71
"7",75,70,37
"8",100,0,45
"9",0,0,70
"10",0,30,43
"11",0,0,37
"12",0,0,55
"13",100,100,30
"14",0,0,38
"15",40,40,41
"16",100,100,66
"17",0,0,54
"18",0,0,55
"19",15,15,62
"20",15,0,80
"21",95,95,31
"22",0,0,80
"23",5,0,24
"24",100,50,55
"25",15,0,59
"26",0,0,73
"27",100,85,72
"28",60,50,50
"29",-9,0,66
"30",0,0,41
"31",85,-9,52
"32",0,0,45
"33",0,0,46
"34",100,100,66
"35",0,0,60
"36",85,85,73
"37",15,40,71
"38",0,0,28
"39",0,0,73
"40",100,100,-9
"41",70,70,37
"42",5,10,56
"43",100,100,48
"44",98,100,53
"45",85,70,72
"46",100,85,55
"47",0,0,79
"48",0,0,38
"49",80,95,42
"50",0,0,70
"51",15,0,50
"52",0,0,50
"53",85,-6,27
"54",100,100,62
"55",85,100,51
"56",85,-6,60
"57",15,0,65
"58",0,0,-9
"59",30,0,48
"60",85,100,55
"61",30,30,54
"62",15,35,38
"63",0,0,80
"64",0,40,37
"65",15,0,38
"66",0,0,60
"67",0,0,46
"68",0,0,78
"69",0,0,39
"70",0,0,33
"71",0,16,74
"72",0,0,61
"73",0,0,67
"74",-9,0,60
"75",85,85,-9
"76",15,50,21
"77",0,0,49
"78",0,0,80
"79",70,85,70
"80",0,0,70
"81",30,30,72
"82",100,100,78
"83",0,0,43
"84",30,0,45
"85",0,0,44
"86",0,0,50
"87",0,10,-9
"88",0,0,33
"89",100,100,55
"90",60,60,28
"91",85,60,34
"92",85,100,24
"93",100,100,26
"94",0,0,75
"95",60,70,61
"96",100,100,80
"97",0,0,58
"98",0,0,50
"99",0,0,76
"100",30,40,80
"101",0,0,48
"102",15,40,61
"103",0,0,45
"104",85,85,37
"105",85,100,36
"106",0,0,80
"107",100,85,66
"108",85,100,80
"109",65,50,66
"110",0,0,60
"111",100,100,34
"112",100,85,80
"113",70,30,71
"114",100,85,72
"115",70,50,57
"116",85,100,36
"117",0,0,61
"118",100,100,58
"119",0,0,30
"120",85,100,80
"121",100,100,-9
"122",-9,16,72
"123",50,-6,38
"124",80,60,60
"125",70,85,52
"126",50,23,40
"127",0,0,23
"128",100,100,54
"129",0,0,70
"130",0,0,23
"131",0,0,66
"132",95,90,60
"133",100,100,50
"134",90,100,62
"135",0,0,37
"136",100,0,73
"137",0,0,52
"138",100,85,76
"139",0,0,73
"140",30,30,42
"141",100,85,67
"142",50,0,64
"143",70,60,55
"144",0,0,29
"145",0,0,34
"146",0,0,45
"147",0,0,40
"148",70,-6,28
"149",10,15,49
"150",0,0,37
"151",100,100,80
"152",0,-6,55
"153",-9,100,80
"154",0,-6,63
"155",70,80,66
"156",60,-9,55
"157",90,100,65
"158",0,0,69
"159",85,85,70
"160",100,100,64
"161",100,100,62
"162",85,90,50
"163",30,0,46
"164",0,0,67
"165",0,-6,43
"166",0,0,30
"167",90,85,80
"168",20,0,58
"169",70,70,29
"170",0,0,71
"171",60,50,69
"172",0,0,80
"173",0,0,28
"174",0,40,22
"175",0,0,72
"176",0,2,63
"177",15,-6,64
"178",0,0,61
"179",-9,100,60
"180",-9,85,48
"181",85,85,69
"182",100,100,80
"183",85,85,77
"184",0,0,48
"185",0,15,47
"186",0,-6,43
"187",0,0,71
"188",0,0,31
"189",0,0,78
"190",0,0,76
"191",10,7,46
"192",75,70,31
"193",0,0,29
"194",30,0,69
"195",0,0,34
"196",50,60,23
"197",30,40,61
"198",0,0,57
"199",70,80,33
"200",60,40,-9
"201",0,0,71
"202",100,100,50
"203",70,85,71
"204",85,70,70
"205",60,50,22
"206",60,50,24
"207",0,0,40
"208",0,0,49
"209",30,30,56
"210",85,60,59
"211",100,-9,63
"212",0,0,73
"213",0,0,56
"214",60,70,41
"215",60,40,48
"216",-9,-9,80
"217",0,-7,36
"218",85,60,64
"219",15,50,28
"220",0,0,21
"221",70,50,61
"222",0,0,65
"223",70,70,35
"224",5,0,31
"225",30,15,24
"226",15,0,37
"227",75,85,53
"228",0,0,34
"229",0,0,60
"230",30,0,66
"231",100,100,70
"232",0,0,51
"233",0,0,44
"234",15,30,60
"235",85,70,34
"236",85,85,53
"237",0,0,37
"238",0,30,56
"239",15,10,46
"240",0,-6,38
"241",-9,15,63
"242",18,13,29
"243",40,-6,41
"244",30,30,54
"245",100,100,79
"246",85,100,31
"247",100,100,50
"248",0,0,64
"249",0,0,80
"250",0,0,60
"251",0,-6,28
"252",0,0,46
"253",0,0,66
"254",-9,-6,63
"255",-9,50,38
"256",100,85,59
"257",30,30,64
"258",100,100,72
"259",0,0,68
"260",70,40,28
"261",0,0,27
"262",0,0,62
"263",75,70,70
"264",0,0,29
"265",0,0,62
"266",40,30,60
"267",85,85,69
"268",0,0,58
"269",85,100,47
"270",70,85,53
"271",0,15,72
"272",0,0,35
"273",85,85,62
"274",0,0,73
"275",100,100,28
"276",85,85,57
"277",60,50,29
"278",75,66,39
"279",0,9,55
"280",0,0,42
"281",85,85,67
"282",85,85,58
"283",85,85,67
"284",100,100,58
"285",0,0,25
"286",15,15,73
"287",0,0,30
"288",100,90,38
"289",-9,-6,64
"290",0,0,40
"291",60,40,-9
"292",50,65,51
"293",50,15,61
"294",0,0,59
"295",0,-9,58
"296",68,50,53
"297",0,0,75
"298",15,15,37
"299",70,85,77
"300",50,50,-9
"301",85,100,68
"302",85,70,66
"303",30,40,43
"304",50,70,72
"305",40,60,50
"306",0,0,58
"307",15,0,28
"308",30,15,59
"309",100,100,72
"310",0,10,29
"311",0,0,60
"312",0,0,66
"313",0,0,56
"314",85,60,40
"315",90,90,45
"316",60,40,51
"317",0,0,68
"318",70,65,22
"319",85,90,40
"320",0,0,63
"321",0,0,59
"322",3,1,53
"323",-9,0,80
"324",85,100,67
"325",85,-6,35
"326",0,0,69
"327",0,0,80
"328",80,70,62
"329",70,70,38
"330",50,100,71
"331",70,85,80
"332",0,0,61
"333",100,100,65
"334",15,0,30
"335",60,75,38
"336",60,-6,80
"337",0,0,80
"338",85,85,-9
"339",50,60,65
"340",0,0,48
"341",0,0,38
"342",15,15,-9
"343",15,15,67
"344",0,-9,80
"345",0,0,33
"346",100,85,76
"347",0,-6,43
"348",0,0,32
"349",95,90,41
"350",85,85,80
"351",15,15,45
"352",0,0,56
"353",70,72,68
"354",15,10,73
"355",0,0,69
"356",0,0,73
"357",100,100,43
"358",50,50,48
"359",85,100,62
"360",20,5,41
"361",0,0,20
"362",70,-9,63
"363",15,15,34
"364",-9,-6,80
"365",85,85,76
