"","V202290x","V201507x","V202073"
"1",4,46,-1
"2",4,37,3
"3",4,40,1
"4",2,41,1
"5",4,72,2
"6",4,71,1
"7",2,37,2
"8",4,45,-1
"9",4,70,-1
"10",4,43,1
"11",4,37,1
"12",4,55,1
"13",4,30,2
"14",4,38,-1
"15",4,41,-1
"16",2,66,-1
"17",1,54,1
"18",6,55,-1
"19",4,62,1
"20",4,80,1
"21",4,31,-1
"22",4,80,1
"23",4,24,1
"24",4,55,-1
"25",4,59,-1
"26",4,73,1
"27",4,72,2
"28",4,50,2
"29",4,66,1
"30",2,41,1
"31",7,52,-1
"32",4,45,-1
"33",4,46,1
"34",4,66,2
"35",4,60,1
"36",4,73,2
"37",1,71,1
"38",4,28,1
"39",4,73,1
"40",2,-9,2
"41",4,37,2
"42",4,56,1
"43",4,48,2
"44",7,53,2
"45",4,72,2
"46",7,55,2
"47",1,79,1
"48",4,38,1
"49",2,42,2
"50",4,70,1
"51",1,50,-1
"52",4,50,1
"53",-6,27,-6
"54",7,62,-1
"55",4,51,3
"56",-6,60,-6
"57",4,65,1
"58",4,-9,1
"59",4,48,1
"60",3,55,2
"61",4,54,1
"62",4,38,-1
"63",6,80,1
"64",7,37,1
"65",4,38,1
"66",1,60,1
"67",1,46,1
"68",4,78,2
"69",4,39,1
"70",4,33,1
"71",4,74,1
"72",6,61,1
"73",2,67,-1
"74",4,60,1
"75",4,-9,2
"76",4,21,-1
"77",4,49,-1
"78",2,80,1
"79",4,70,2
"80",3,70,1
"81",4,72,2
"82",7,78,2
"83",1,43,1
"84",4,45,-1
"85",4,44,1
"86",3,50,1
"87",4,-9,-1
"88",4,33,1
"89",4,55,-1
"90",1,28,2
"91",4,34,-1
"92",4,24,2
"93",2,26,2
"94",2,75,1
"95",2,61,2
"96",2,80,2
"97",1,58,1
"98",6,50,1
"99",4,76,1
"100",4,80,1
"101",4,48,-1
"102",4,61,-1
"103",4,45,1
"104",2,37,2
"105",4,36,2
"106",4,80,1
"107",2,66,2
"108",4,80,2
"109",4,66,2
"110",4,60,1
"111",4,34,-1
"112",4,80,2
"113",2,71,-1
"114",4,72,2
"115",4,57,-1
"116",6,36,2
"117",4,61,1
"118",1,58,2
"119",3,30,1
"120",4,80,-1
"121",2,-9,2
"122",4,72,-1
